Date,Open,High,Low,Close,Adj Close,Volume
1989-04-12,1582.199951,1582.199951,1582.199951,1582.199951,1582.199951,0
1989-04-13,1587.900024,1587.900024,1587.900024,1587.900024,1587.900024,0
1989-04-14,1576.500000,1576.500000,1576.500000,1576.500000,1576.500000,0
1989-04-17,1576.500000,1576.500000,1576.500000,1576.500000,1576.500000,0
1989-04-18,1571.300049,1571.300049,1571.300049,1571.300049,1571.300049,0
1989-04-19,1565.400024,1565.400024,1565.400024,1565.400024,1565.400024,0
1989-04-20,1555.000000,1555.000000,1555.000000,1555.000000,1555.000000,0
1989-04-21,1544.800049,1544.800049,1544.800049,1544.800049,1544.800049,0
1989-04-24,1541.800049,1541.800049,1541.800049,1541.800049,1541.800049,0
1989-04-25,1538.099976,1538.099976,1538.099976,1538.099976,1538.099976,0
1989-04-26,1542.599976,1542.599976,1542.599976,1542.599976,1542.599976,0
1989-04-27,1553.300049,1553.300049,1553.300049,1553.300049,1553.300049,0
1989-04-28,1576.900024,1576.900024,1576.900024,1576.900024,1576.900024,0
1989-05-01,1576.900024,1576.900024,1576.900024,1576.900024,1576.900024,0
1989-05-02,1561.199951,1561.199951,1561.199951,1561.199951,1561.199951,0
1989-05-03,1561.199951,1561.199951,1561.199951,1561.199951,1561.199951,0
1989-05-04,1561.199951,1561.199951,1561.199951,1561.199951,1561.199951,0
1989-05-05,1554.599976,1554.599976,1554.599976,1554.599976,1554.599976,0
1989-05-08,1548.400024,1548.400024,1548.400024,1548.400024,1548.400024,0
1989-05-09,1537.800049,1537.800049,1537.800049,1537.800049,1537.800049,0
1989-05-10,1533.800049,1533.800049,1533.800049,1533.800049,1533.800049,0
1989-05-11,1528.699951,1528.699951,1528.699951,1528.699951,1528.699951,0
1989-05-12,1531.000000,1531.000000,1531.000000,1531.000000,1531.000000,0
1989-05-15,1531.000000,1531.000000,1531.000000,1531.000000,1531.000000,0
1989-05-16,1527.900024,1527.900024,1527.900024,1527.900024,1527.900024,0
1989-05-17,1515.300049,1515.300049,1515.300049,1515.300049,1515.300049,0
1989-05-18,1519.400024,1519.400024,1519.400024,1519.400024,1519.400024,0
1989-05-19,1524.500000,1524.500000,1524.500000,1524.500000,1524.500000,0
1989-05-22,1526.699951,1526.699951,1526.699951,1526.699951,1526.699951,0
1989-05-23,1526.699951,1526.699951,1526.699951,1526.699951,1526.699951,0
1989-05-24,1503.199951,1503.199951,1503.199951,1503.199951,1503.199951,0
1989-05-25,1500.500000,1500.500000,1500.500000,1500.500000,1500.500000,0
1989-05-26,1494.199951,1494.199951,1494.199951,1494.199951,1494.199951,0
1989-05-29,1499.199951,1499.199951,1499.199951,1499.199951,1499.199951,0
1989-05-30,1517.400024,1517.400024,1517.400024,1517.400024,1517.400024,0
1989-05-31,1519.800049,1519.800049,1519.800049,1519.800049,1519.800049,0
1989-06-01,1539.300049,1539.300049,1539.300049,1539.300049,1539.300049,0
1989-06-02,1570.699951,1570.699951,1570.699951,1570.699951,1570.699951,0
1989-06-05,1580.900024,1580.900024,1580.900024,1580.900024,1580.900024,0
1989-06-06,1579.699951,1579.699951,1579.699951,1579.699951,1579.699951,0
1989-06-07,1603.500000,1603.500000,1603.500000,1603.500000,1603.500000,0
1989-06-08,1613.099976,1613.099976,1613.099976,1613.099976,1613.099976,0
1989-06-09,1628.500000,1628.500000,1628.500000,1628.500000,1628.500000,0
1989-06-12,1620.000000,1620.000000,1620.000000,1620.000000,1620.000000,0
1989-06-13,1612.000000,1612.000000,1612.000000,1612.000000,1612.000000,0
1989-06-14,1615.099976,1615.099976,1615.099976,1615.099976,1615.099976,0
1989-06-15,1620.000000,1620.000000,1620.000000,1620.000000,1620.000000,0
1989-06-16,1625.000000,1625.000000,1625.000000,1625.000000,1625.000000,0
